,City,Non_Graffiti_Count,Graffiti_Count,Total_Images
0,Albuquerque,430,0.0,430.0
1,Atlanta,424,7.0,431.0
2,Austin,440,1.0,441.0
3,Bakersfield,432,0.0,432.0
4,Baltimorem,238,5.0,243.0
5,Boston,121,0.0,121.0
6,Charlotte,462,1.0,463.0
7,Chicago,420,11.0,431.0
8,Colorado Springs,397,1.0,398.0
9,Columbus,451,3.0,454.0
10,Dallas,466,1.0,467.0
11,Denveri,433,0.0,433.0
12,Detroit,430,4.0,434.0
13,El Paso,245,1.0,246.0
14,Fort Worth,334,1.0,335.0
15,Fresno,441,2.0,443.0
16,Houston,483,1.0,484.0
17,Indianapolisg,472,3.0,475.0
18,Jacksonvillef,433,5.0,438.0
19,Kansas City,410,1.0,411.0
20,Las Vegas,418,1.0,419.0
21,Long Beach,394,1.0,395.0
22,Los Angeles,459,3.0,462.0
23,Louisvillel,312,0.0,312.0
24,Memphis,451,1.0,452.0
25,Mesa,285,0.0,285.0
26,Miami,461,11.0,472.0
27,Milwaukee,463,1.0,464.0
28,Minneapolis,464,0.0,464.0
29,Nashvillej,444,0.0,444.0
30,New Yorkd,463,16.0,479.0
31,Oakland,373,19.0,392.0
32,Oklahoma City,433,1.0,434.0
33,Omaha,454,0.0,454.0
34,Philadelphiae,457,13.0,470.0
35,Phoenix,401,1.0,402.0
36,Portland,467,5.0,472.0
37,Raleigh,454,0.0,454.0
38,Sacramento,419,0.0,419.0
39,San Antonio,480,1.0,481.0
40,San Diego,321,2.0,323.0
41,San Franciscoh,465,9.0,474.0
42,San Jose,464,0.0,464.0
43,Seattle,424,6.0,430.0
44,Tampa,478,2.0,480.0
45,Tucson,118,0.0,118.0
46,Tulsa,423,0.0,423.0
47,Virginia Beachm,9,0.0,9.0
48,Washingtonk,225,1.0,226.0
49,Wichita,397,1.0,398.0
