,index,city,coordinates,graffiti
0,0,Albuquerque," (35.075101, -106.67199)",0
1,1,Albuquerque," (35.075594, -106.634554)",0
2,2,Albuquerque," (35.075695, -106.671933)",0
3,3,Albuquerque," (35.07576, -106.644715)",0
4,4,Albuquerque," (35.076115, -106.631026)",0
5,5,Albuquerque," (35.076149, -106.670998)",0
6,6,Albuquerque," (35.076727, -106.6399)",0
7,7,Albuquerque," (35.076769, -106.673747)",0
8,8,Albuquerque," (35.077019, -106.64331)",0
9,9,Albuquerque," (35.077079, -106.63605)",0
10,10,Albuquerque," (35.077084, -106.630976)",0
11,11,Albuquerque," (35.077118, -106.643834)",0
12,12,Albuquerque," (35.077166, -106.636984)",0
13,13,Albuquerque," (35.077404, -106.641505)",0
14,14,Albuquerque," (35.077438, -106.665204)",0
15,15,Albuquerque," (35.077514, -106.672994)",0
16,16,Albuquerque," (35.077638, -106.654465)",0
17,17,Albuquerque," (35.077751, -106.638498)",0
18,18,Albuquerque," (35.07782, -106.626925)",0
19,19,Albuquerque," (35.077828, -106.651252)",0
20,20,Albuquerque," (35.07811, -106.655847)",0
21,21,Albuquerque," (35.078212, -106.647943)",0
22,22,Albuquerque," (35.078445, -106.629252)",0
23,23,Albuquerque," (35.07854, -106.644823)",0
24,24,Albuquerque," (35.078629, -106.665542)",0
25,25,Albuquerque," (35.078737, -106.643231)",0
26,26,Albuquerque," (35.078775, -106.639293)",0
27,27,Albuquerque," (35.078912, -106.635029)",0
28,28,Albuquerque," (35.079072, -106.657916)",0
29,29,Albuquerque," (35.079139, -106.663388)",0
30,30,Albuquerque," (35.079171, -106.674009)",0
31,31,Albuquerque," (35.079252, -106.659137)",0
32,32,Albuquerque," (35.079554, -106.660866)",0
33,33,Albuquerque," (35.079746, -106.651022)",0
34,34,Albuquerque," (35.079756, -106.648194)",0
35,35,Albuquerque," (35.079758, -106.631919)",0
36,36,Albuquerque," (35.079877, -106.644512)",0
37,37,Albuquerque," (35.079984, -106.634365)",0
38,38,Albuquerque," (35.080004, -106.666383)",0
39,39,Albuquerque," (35.080062, -106.630658)",0
40,40,Albuquerque," (35.080076, -106.627573)",0
41,41,Albuquerque," (35.080423, -106.643931)",0
42,42,Albuquerque," (35.080457, -106.636788)",0
43,43,Albuquerque," (35.08065, -106.632401)",0
44,44,Albuquerque," (35.080737, -106.629268)",0
45,45,Albuquerque," (35.080795, -106.665539)",0
46,46,Albuquerque," (35.080869, -106.6679)",0
47,47,Albuquerque," (35.080899, -106.656332)",0
48,48,Albuquerque," (35.081013, -106.64885)",0
49,49,Albuquerque," (35.081025, -106.653884)",0
50,50,Albuquerque," (35.081102, -106.637966)",0
51,51,Albuquerque," (35.081412, -106.662727)",0
52,52,Albuquerque," (35.081632, -106.667961)",0
53,53,Albuquerque," (35.081699, -106.66975)",0
54,54,Albuquerque," (35.081752, -106.666936)",0
55,55,Albuquerque," (35.082015, -106.653654)",0
56,56,Albuquerque," (35.082502, -106.633193)",0
57,57,Albuquerque," (35.082675, -106.661425)",0
58,58,Albuquerque," (35.083153, -106.630462)",0
59,59,Albuquerque," (35.083211, -106.668336)",0
60,60,Albuquerque," (35.083234, -106.665774)",0
61,61,Albuquerque," (35.083346, -106.662746)",0
62,62,Albuquerque," (35.083689, -106.669029)",0
63,63,Albuquerque," (35.083704, -106.637807)",0
64,64,Albuquerque," (35.08387, -106.650154)",0
65,65,Albuquerque," (35.084048, -106.64146)",0
66,66,Albuquerque," (35.084058, -106.664203)",0
67,67,Albuquerque," (35.084062, -106.636026)",0
68,68,Albuquerque," (35.084157, -106.660724)",0
69,69,Albuquerque," (35.084226, -106.629801)",0
70,70,Albuquerque," (35.084476, -106.635339)",0
71,71,Albuquerque," (35.084707, -106.646293)",0
72,72,Albuquerque," (35.084889, -106.648748)",0
73,73,Albuquerque," (35.08501, -106.632714)",0
74,74,Albuquerque," (35.085053, -106.642584)",0
75,75,Albuquerque," (35.085263, -106.641792)",0
76,76,Albuquerque," (35.085326, -106.663373)",0
77,77,Albuquerque," (35.085412, -106.630662)",0
78,78,Albuquerque," (35.085463, -106.668976)",0
79,79,Albuquerque," (35.085653, -106.664045)",0
80,80,Albuquerque," (35.085697, -106.646118)",0
81,81,Albuquerque," (35.085866, -106.625773)",0
82,82,Albuquerque," (35.08609, -106.632088)",0
83,83,Albuquerque," (35.086229, -106.672144)",0
84,84,Albuquerque," (35.086326, -106.633718)",0
85,85,Albuquerque," (35.086584, -106.659446)",0
86,86,Albuquerque," (35.086856, -106.672333)",0
87,87,Albuquerque," (35.086955, -106.645319)",0
88,88,Albuquerque," (35.086996, -106.66776)",0
89,89,Albuquerque," (35.087033, -106.647033)",0
90,90,Albuquerque," (35.087101, -106.651063)",0
91,91,Albuquerque," (35.087187, -106.630316)",0
92,92,Albuquerque," (35.087326, -106.634689)",0
93,93,Albuquerque," (35.087501, -106.626528)",0
94,94,Albuquerque," (35.087545, -106.654228)",0
95,95,Albuquerque," (35.087571, -106.637868)",0
96,96,Albuquerque," (35.087625, -106.662883)",0
97,97,Albuquerque," (35.08763, -106.636243)",0
98,98,Albuquerque," (35.08779, -106.627578)",0
99,99,Albuquerque," (35.088088, -106.661242)",0
100,100,Albuquerque," (35.088207, -106.65543)",0
101,101,Albuquerque," (35.088308, -106.670744)",0
102,102,Albuquerque," (35.088311, -106.667703)",0
103,103,Albuquerque," (35.088335, -106.670224)",0
104,104,Albuquerque," (35.088403, -106.64369)",0
105,105,Albuquerque," (35.088457, -106.664135)",0
106,106,Albuquerque," (35.088506, -106.654619)",0
107,107,Albuquerque," (35.088573, -106.650596)",0
108,108,Albuquerque," (35.088658, -106.653822)",0
109,109,Albuquerque," (35.088908, -106.66512)",0
110,110,Albuquerque," (35.08895, -106.639221)",0
111,111,Albuquerque," (35.089451, -106.637278)",0
112,112,Albuquerque," (35.089466, -106.669588)",0
113,113,Albuquerque," (35.089514, -106.64558)",0
114,114,Albuquerque," (35.089616, -106.66454)",0
115,115,Albuquerque," (35.089637, -106.652434)",0
116,116,Albuquerque," (35.089637, -106.664068)",0
117,117,Albuquerque," (35.089758, -106.666812)",0
118,118,Albuquerque," (35.089796, -106.636293)",0
119,119,Albuquerque," (35.089998, -106.65584)",0
120,120,Albuquerque," (35.090372, -106.649379)",0
121,121,Albuquerque," (35.090373, -106.647885)",0
122,122,Albuquerque," (35.090706, -106.632093)",0
123,123,Albuquerque," (35.090773, -106.639549)",0
124,124,Albuquerque," (35.090788, -106.666509)",0
125,125,Albuquerque," (35.090837, -106.641135)",0
126,126,Albuquerque," (35.091117, -106.670415)",0
127,127,Albuquerque," (35.091408, -106.646686)",0
128,128,Albuquerque," (35.091452, -106.665823)",0
129,129,Albuquerque," (35.091786, -106.64413)",0
130,130,Albuquerque," (35.091968, -106.662154)",0
